Created Graph Saved...
Epoch:0	training loss:5.197895526885986	 training accuracy:0.06318397687383853
Epoch:1	training loss:4.461331844329834	 training accuracy:0.12285773281024158
Epoch:2	training loss:5.284699440002441	 training accuracy:0.33904604583935577
Epoch:3	training loss:7.3095173835754395	 training accuracy:0.15279785257072062
Epoch:4	training loss:9.124929428100586	 training accuracy:0.14268015692752425
Epoch:5	training loss:7.925045490264893	 training accuracy:0.12244476564113153
Epoch:6	training loss:8.544474601745605	 training accuracy:0.33904604583935577
Epoch:7	training loss:8.54981517791748	 training accuracy:0.33904604583935577
Epoch:8	training loss:6.948068618774414	 training accuracy:0.33904604583935577
Epoch:9	training loss:4.898818016052246	 training accuracy:0.33904604583935577
Epoch:10	training loss:6.32363748550415	 training accuracy:0.056989469337187695
Epoch:11	training loss:5.8703107833862305	 training accuracy:0.15279785257072062
Epoch:12	training loss:4.86372184753418	 training accuracy:0.20958083832335328
Epoch:13	training loss:4.347565650939941	 training accuracy:0.14268015692752425
Epoch:14	training loss:4.404369831085205	 training accuracy:0.155482139169936
Epoch:15	training loss:4.226994514465332	 training accuracy:0.2994011976047904
Epoch:16	training loss:3.235482692718506	 training accuracy:0.4045013421432996
Epoch:17	training loss:3.287280559539795	 training accuracy:0.33904604583935577
Epoch:18	training loss:3.3535101413726807	 training accuracy:0.33904604583935577
Epoch:19	training loss:2.87680983543396	 training accuracy:0.34193681602312614
Epoch:20	training loss:2.5804731845855713	 training accuracy:0.5271525913689862
Epoch:21	training loss:2.5734734535217285	 training accuracy:0.4912244476564113
Epoch:22	training loss:2.3116800785064697	 training accuracy:0.49163741482552137
Epoch:23	training loss:1.87930428981781	 training accuracy:0.5589510633904604
Epoch:24	training loss:1.5149821043014526	 training accuracy:0.5143506091265745
Epoch:25	training loss:1.8704789876937866	 training accuracy:0.4016105719595292
Epoch:26	training loss:2.027667760848999	 training accuracy:0.4016105719595292
Epoch:27	training loss:1.618251085281372	 training accuracy:0.46128432789593227
Epoch:28	training loss:1.627048373222351	 training accuracy:0.46128432789593227
Epoch:29	training loss:1.3951424360275269	 training accuracy:0.46252322940326246
Epoch:30	training loss:1.283481240272522	 training accuracy:0.5670039231881066
Epoch:31	training loss:1.4530946016311646	 training accuracy:0.5502787528391493
Epoch:32	training loss:1.5358364582061768	 training accuracy:0.5645261201734462
Epoch:33	training loss:1.5045514106750488	 training accuracy:0.6016931653933513
Epoch:34	training loss:1.4122958183288574	 training accuracy:0.5451166632252736
Epoch:35	training loss:1.2512210607528687	 training accuracy:0.5872393144744993
Epoch:36	training loss:1.1201236248016357	 training accuracy:0.5595705141441255
Epoch:37	training loss:1.0821523666381836	 training accuracy:0.5490398513318191
Epoch:38	training loss:1.0737005472183228	 training accuracy:0.5052653314061533
Epoch:39	training loss:1.0501364469528198	 training accuracy:0.5975634937022507
Epoch:40	training loss:1.0511255264282227	 training accuracy:0.5731984307247574
Epoch:41	training loss:1.0300401449203491	 training accuracy:0.5977699772868057
Epoch:42	training loss:0.9950377345085144	 training accuracy:0.6118108610365476
Epoch:43	training loss:0.9182166457176208	 training accuracy:0.6851125335535825
Epoch:44	training loss:0.850135087966919	 training accuracy:0.7873219079083212
Epoch:45	training loss:0.8827682137489319	 training accuracy:0.6929589097666735
Epoch:46	training loss:0.9137696027755737	 training accuracy:0.6568242824695437
Epoch:47	training loss:0.8536208868026733	 training accuracy:0.6696262647119554
Epoch:48	training loss:0.7647325992584229	 training accuracy:0.7941358661986372
Epoch:49	training loss:0.7309967875480652	 training accuracy:0.7491224447656412
Epoch:50	training loss:0.7361482977867126	 training accuracy:0.763369812099938
Epoch:51	training loss:0.736923098564148	 training accuracy:0.7945488333677473
Epoch:52	training loss:0.71800297498703	 training accuracy:0.7829857526326657
Epoch:53	training loss:0.6797064542770386	 training accuracy:0.8352260995250878
Epoch:54	training loss:0.6456567049026489	 training accuracy:0.8385298368779682
Epoch:55	training loss:0.6281752586364746	 training accuracy:0.8207722486062358
Epoch:56	training loss:0.618755042552948	 training accuracy:0.8143712574850299
Epoch:57	training loss:0.6066062450408936	 training accuracy:0.8036341110881685
Epoch:58	training loss:0.5869305729866028	 training accuracy:0.8032211439190584
Epoch:59	training loss:0.5624560713768005	 training accuracy:0.8420400578154037
Epoch:60	training loss:0.5396771430969238	 training accuracy:0.8746644641750981
Epoch:61	training loss:0.522079348564148	 training accuracy:0.8434854429072889
Epoch:62	training loss:0.5074410438537598	 training accuracy:0.8513318191203799
Epoch:63	training loss:0.49429190158843994	 training accuracy:0.8649597357010118
Epoch:64	training loss:0.48333224654197693	 training accuracy:0.8843691926491843
Epoch:65	training loss:0.47349074482917786	 training accuracy:0.8864340284947346
Epoch:66	training loss:0.46218663454055786	 training accuracy:0.926285360313855
Epoch:67	training loss:0.44798341393470764	 training accuracy:0.9238075572991947
Epoch:68	training loss:0.43254682421684265	 training accuracy:0.9143093124096634
Epoch:69	training loss:0.419404000043869	 training accuracy:0.9124509601486682
Epoch:70	training loss:0.4099277853965759	 training accuracy:0.9000619450753665
